version,date,op,fixture,wall_s,rss_mb,note
0.11.11,2026-09-06,load,bench_10g.vcd,360,9797,历史基线(每信号 BTreeMap)
0.12.0,2026-09-06,load,bench_10g.vcd,12,-,页缓存暖;冷 ~62s
0.12.0,2026-09-07,count-lit,bench_10g.vcd,282,-,锚定扫描前(逐行)
0.12.1,2026-09-07,count-lit,bench_10g.vcd,151,-,IO-1 锚定扫描
0.12.2,2026-09-07,load,bench_10g.vcd,42,-,全局行采样加载
0.12.3,2026-09-07,count-var,bench_10g.vcd,138,-,变量 RHS 快路径
0.12.4,2026-09-08,count-lit(column),bench_2g.vcd,NA,NA,列缓存路径;计数与锚定一致 77629;加载成本提升(待干净复测)
0.12.8,2026-09-08,count-any-expr,bench_2g.vcd,31,4547,区间扫描引擎(load+变更列扫描主导;逐拍回退原>90s超时)
0.12.9,2026-09-08,whenever-any-expr,bench_2g.vcd,NA,NA,引擎命中索引+body逐拍执行(矩阵12项==oracle)
0.12.24,2026-09-08,count-lit,bench_2g.vcd,29.08,3945,语义修复轮无回归(==77629 oracle)
0.12.24,2026-09-08,count-edge-level,bench_2g.vcd,58.69,3949,(&& (rising s0) (= (get s1) 1)) 引擎==逐拍==0
0.12.24,2026-09-08,count-mixed,bench_2g.vcd,57.85,3901,(|| (rising s0) (= (get s0) 1)) == 77757(电平+边沿并集)
0.12.34,2026-09-08,load,bench_10g.vcd,82.37,3008,冷读(页缓存冷;0.12.2 的 42s 是暖页缓存)
0.12.34,2026-09-08,count-lit-cold,bench_10g.vcd,216.28,6975,==92871
0.12.34,2026-09-08,count-lit-2nd-same-proc,bench_10g.vcd,85,-,修复前:同进程第二次同信号仍重扫(~85s)
0.12.35,2026-09-08,count-lit-3x-same-proc,bench_10g.vcd,227.28,5453,修复后第2/3次≈0s(变更列复用);==92871
0.12.34,2026-09-08,count-engine-only,bench_2g.vcd,78.93,3194,(= (get s0) (get s1)) 引擎 O(变更点)
0.12.34,2026-09-08,count-edge-level,bench_2g.vcd,72.81,3292,(&& (rising s0) (= (get s0) 1)) == 54
0.12.34,2026-09-08,count-const,bench_2g.vcd,15.45,3013,(count (= 1 1)) == 300000(常量折叠)
0.12.34,2026-09-08,cache-hit,bench_10g.vcd,150.34,6527,跨进程缓存命中(391MB .wcol)
0.12.36,2026-09-08,count-lit-2nd-process,bench_10g.vcd,3.35,1158,旁挂列缓存命中(首个进程冷扫描 113.8s)
0.13.0,2026-09-10,header-4m-signals,.tools/vmwave/p_many4m.vcd,1.59,968,(length (SIGNALS)) == 4000000; 同轮 0.12.45 = 2.35s/1237MB (arena+开放寻址)
0.13.0,2026-09-10,header-1m-dumpvars,.tools/vmwave/p_many_dv.vcd,0.45,282,(length (SIGNALS)) == 1000000; 同轮 0.12.45 = 0.63s/348MB (初值 blob)
0.13.0,2026-09-10,count-lit-2nd-process,bench_10g.vcd,2.47,1135,旁挂列缓存命中(v0.12.x 写的 .wcol/.col 仍可读) == 92871
0.13.0,2026-09-10,count-lit-2g,bench_2g.vcd,21.86,10165,(count (= (get s0) 1)) == 77629; 0.12.45 同轮 30.54s (RSS 含 mmap 页, 页缓存状态不同)
